input_text,reply_text
stop the fan,"done, fan is off."
activate the door sensor,okay turning on the door sensor.
stop the refrigerator,"okay, deactivating the refrigerator."
disable the dim light,"done, dim light is off."
enable the refrigerator,"done, refrigerator is now on."
switch on the fan,sure! activating the fan.
switch on the phone charger,sure! activating the phone charger.
deactivate the refrigerator,"done, refrigerator is off."
disable the cctv camera,"okay, deactivating the cctv camera."
switch on the aquarium filter,"done, aquarium filter is now on."
turn off the aquarium filter,"done, aquarium filter is off."
switch on the hydroponic farm motor,sure! activating the hydroponic farm motor.
enable the curtain,sure! activating the curtain.
activate the refrigerator,"done, refrigerator is now on."
activate the door sensor,"done, door sensor is now on."
deactivate the door sensor,"okay, deactivating the door sensor."
turn off the fan,"okay, deactivating the fan."
activate the hydroponic farm motor,sure! activating the hydroponic farm motor.
turn off the light,"okay, deactivating the light."
activate the curtain,"done, curtain is now on."
disable the cctv camera,"done, cctv camera is off."
stop the door sensor,"okay, deactivating the door sensor."
deactivate the dim light,"okay, deactivating the dim light."
switch off the light,turning off the light.
switch off the hydroponic farm motor,"done, hydroponic farm motor is off."
power down the curtain,"done, curtain is off."
activate the refrigerator,sure! activating the refrigerator.
switch on the door sensor,"done, door sensor is now on."
turn on the fan,okay turning on the fan.
enable the aquarium filter,sure! activating the aquarium filter.
turn off the dim light,"okay, deactivating the dim light."
switch on the aquarium filter,okay turning on the aquarium filter.
stop the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
turn on the phone charger,okay turning on the phone charger.
switch on the cctv camera,okay turning on the cctv camera.
disable the aquarium filter,"done, aquarium filter is off."
power on the hydroponic farm motor,okay turning on the hydroponic farm motor.
enable the phone charger,sure! activating the phone charger.
switch off the fan,"done, fan is off."
disable the aquarium filter,"okay, deactivating the aquarium filter."
disable the phone charger,"okay, deactivating the phone charger."
switch on the hydroponic farm motor,okay turning on the hydroponic farm motor.
switch off the refrigerator,"okay, deactivating the refrigerator."
power down the aquarium filter,"done, aquarium filter is off."
disable the refrigerator,turning off the refrigerator.
turn on the phone charger,okay turning on the phone charger.
stop the hydroponic farm motor,turning off the hydroponic farm motor.
deactivate the phone charger,"okay, deactivating the phone charger."
power down the aquarium filter,turning off the aquarium filter.
turn on the hydroponic farm motor,sure! activating the hydroponic farm motor.
enable the hydroponic farm motor,"done, hydroponic farm motor is now on."
stop the aquarium filter,turning off the aquarium filter.
stop the refrigerator,turning off the refrigerator.
switch on the refrigerator,sure! activating the refrigerator.
disable the dim light,turning off the dim light.
turn off the aquarium filter,turning off the aquarium filter.
enable the hydroponic farm motor,sure! activating the hydroponic farm motor.
appreciate it,you’re welcome!
disable the refrigerator,"okay, deactivating the refrigerator."
deactivate the fan,"okay, deactivating the fan."
turn on the dim light,sure! activating the dim light.
turn off the light,"done, light is off."
switch on the dim light,sure! activating the dim light.
deactivate the door sensor,"okay, deactivating the door sensor."
disable the aquarium filter,"done, aquarium filter is off."
stop the hydroponic farm motor,"done, hydroponic farm motor is off."
activate the phone charger,sure! activating the phone charger.
power down the light,turning off the light.
turn on the cctv camera,sure! activating the cctv camera.
activate the door sensor,sure! activating the door sensor.
switch on the aquarium filter,sure! activating the aquarium filter.
switch on the light,sure! activating the light.
stop the light,"done, light is off."
stop the refrigerator,"okay, deactivating the refrigerator."
activate the door sensor,sure! activating the door sensor.
turn off the refrigerator,turning off the refrigerator.
power on the phone charger,okay turning on the phone charger.
start the cctv camera,"done, cctv camera is now on."
turn off the dim light,"okay, deactivating the dim light."
turn on the refrigerator,sure! activating the refrigerator.
start the light,"done, light is now on."
disable the hydroponic farm motor,turning off the hydroponic farm motor.
deactivate the refrigerator,"okay, deactivating the refrigerator."
stop the fan,turning off the fan.
turn on the hydroponic farm motor,sure! activating the hydroponic farm motor.
stop the curtain,turning off the curtain.
enable the aquarium filter,"done, aquarium filter is now on."
enable the cctv camera,"done, cctv camera is now on."
power on the curtain,sure! activating the curtain.
stop the curtain,"okay, deactivating the curtain."
power down the door sensor,turning off the door sensor.
thank you,no problem!
start the curtain,sure! activating the curtain.
enable the aquarium filter,sure! activating the aquarium filter.
power down the fan,"okay, deactivating the fan."
disable the cctv camera,"done, cctv camera is off."
activate the curtain,"done, curtain is now on."
switch off the dim light,"okay, deactivating the dim light."
turn off the fan,"done, fan is off."
power on the phone charger,okay turning on the phone charger.
start the curtain,sure! activating the curtain.
deactivate the refrigerator,"okay, deactivating the refrigerator."
enable the light,"done, light is now on."
deactivate the door sensor,"done, door sensor is off."
stop the cctv camera,"okay, deactivating the cctv camera."
switch on the light,"done, light is now on."
stop the door sensor,"done, door sensor is off."
disable the phone charger,"okay, deactivating the phone charger."
activate the fan,sure! activating the fan.
activate the aquarium filter,"done, aquarium filter is now on."
stop the light,turning off the light.
enable the dim light,sure! activating the dim light.
switch off the cctv camera,"okay, deactivating the cctv camera."
power down the refrigerator,"done, refrigerator is off."
enable the fan,"done, fan is now on."
switch off the fan,"okay, deactivating the fan."
switch on the hydroponic farm motor,"done, hydroponic farm motor is now on."
deactivate the aquarium filter,"okay, deactivating the aquarium filter."
switch on the cctv camera,"done, cctv camera is now on."
enable the refrigerator,"done, refrigerator is now on."
activate the refrigerator,okay turning on the refrigerator.
activate the phone charger,sure! activating the phone charger.
activate the phone charger,"done, phone charger is now on."
stop the phone charger,"okay, deactivating the phone charger."
disable the hydroponic farm motor,turning off the hydroponic farm motor.
power down the dim light,"done, dim light is off."
power down the phone charger,turning off the phone charger.
switch on the door sensor,"done, door sensor is now on."
turn on the refrigerator,okay turning on the refrigerator.
turn on the light,sure! activating the light.
disable the hydroponic farm motor,turning off the hydroponic farm motor.
power down the cctv camera,turning off the cctv camera.
power on the dim light,sure! activating the dim light.
enable the cctv camera,okay turning on the cctv camera.
power on the refrigerator,sure! activating the refrigerator.
switch on the refrigerator,"done, refrigerator is now on."
stop the dim light,turning off the dim light.
power down the curtain,"okay, deactivating the curtain."
turn off the refrigerator,"done, refrigerator is off."
deactivate the aquarium filter,"okay, deactivating the aquarium filter."
power on the phone charger,sure! activating the phone charger.
stop the dim light,"done, dim light is off."
power on the refrigerator,sure! activating the refrigerator.
turn off the dim light,"done, dim light is off."
turn on the phone charger,"done, phone charger is now on."
enable the cctv camera,okay turning on the cctv camera.
power on the aquarium filter,okay turning on the aquarium filter.
start the fan,"done, fan is now on."
power down the dim light,"okay, deactivating the dim light."
disable the dim light,"done, dim light is off."
start the cctv camera,okay turning on the cctv camera.
disable the refrigerator,turning off the refrigerator.
turn on the hydroponic farm motor,sure! activating the hydroponic farm motor.
enable the phone charger,sure! activating the phone charger.
disable the dim light,"okay, deactivating the dim light."
turn off the light,"done, light is off."
stop the door sensor,"done, door sensor is off."
stop the fan,turning off the fan.
power on the light,"done, light is now on."
stop the hydroponic farm motor,"done, hydroponic farm motor is off."
turn on the hydroponic farm motor,"done, hydroponic farm motor is now on."
activate the phone charger,"done, phone charger is now on."
turn off the door sensor,"okay, deactivating the door sensor."
start the refrigerator,sure! activating the refrigerator.
deactivate the light,"done, light is off."
enable the light,"done, light is now on."
enable the light,sure! activating the light.
stop the curtain,"okay, deactivating the curtain."
deactivate the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
power on the curtain,sure! activating the curtain.
activate the light,okay turning on the light.
power on the fan,"done, fan is now on."
activate the refrigerator,sure! activating the refrigerator.
deactivate the curtain,"okay, deactivating the curtain."
turn on the curtain,"done, curtain is now on."
disable the dim light,"okay, deactivating the dim light."
disable the aquarium filter,"done, aquarium filter is off."
switch off the light,"okay, deactivating the light."
appreciate it,no problem!
enable the light,okay turning on the light.
turn off the dim light,"done, dim light is off."
switch on the aquarium filter,"done, aquarium filter is now on."
turn off the fan,"done, fan is off."
disable the aquarium filter,"okay, deactivating the aquarium filter."
disable the aquarium filter,"done, aquarium filter is off."
start the dim light,okay turning on the dim light.
activate the curtain,sure! activating the curtain.
power down the dim light,"okay, deactivating the dim light."
power on the hydroponic farm motor,okay turning on the hydroponic farm motor.
activate the cctv camera,okay turning on the cctv camera.
power down the light,turning off the light.
power on the fan,"done, fan is now on."
turn on the hydroponic farm motor,okay turning on the hydroponic farm motor.
deactivate the fan,"done, fan is off."
turn off the cctv camera,turning off the cctv camera.
turn off the hydroponic farm motor,turning off the hydroponic farm motor.
stop the refrigerator,"done, refrigerator is off."
enable the light,"done, light is now on."
turn off the phone charger,turning off the phone charger.
activate the light,sure! activating the light.
disable the fan,turning off the fan.
deactivate the refrigerator,turning off the refrigerator.
deactivate the door sensor,turning off the door sensor.
deactivate the curtain,turning off the curtain.
switch off the fan,turning off the fan.
stop the door sensor,turning off the door sensor.
enable the hydroponic farm motor,"done, hydroponic farm motor is now on."
stop the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
turn off the fan,turning off the fan.
disable the door sensor,"done, door sensor is off."
disable the dim light,"okay, deactivating the dim light."
switch off the fan,"done, fan is off."
turn off the aquarium filter,"done, aquarium filter is off."
enable the dim light,sure! activating the dim light.
enable the hydroponic farm motor,okay turning on the hydroponic farm motor.
power on the fan,okay turning on the fan.
power on the door sensor,okay turning on the door sensor.
stop the fan,turning off the fan.
enable the aquarium filter,sure! activating the aquarium filter.
turn off the fan,turning off the fan.
start the phone charger,sure! activating the phone charger.
enable the aquarium filter,okay turning on the aquarium filter.
turn on the cctv camera,sure! activating the cctv camera.
deactivate the cctv camera,"okay, deactivating the cctv camera."
power down the aquarium filter,"okay, deactivating the aquarium filter."
activate the door sensor,sure! activating the door sensor.
deactivate the light,"done, light is off."
stop the fan,turning off the fan.
power down the dim light,"done, dim light is off."
disable the light,"done, light is off."
turn on the aquarium filter,"done, aquarium filter is now on."
disable the aquarium filter,"done, aquarium filter is off."
switch on the cctv camera,okay turning on the cctv camera.
turn off the hydroponic farm motor,turning off the hydroponic farm motor.
turn off the hydroponic farm motor,"done, hydroponic farm motor is off."
enable the fan,okay turning on the fan.
switch on the dim light,"done, dim light is now on."
enable the door sensor,okay turning on the door sensor.
enable the phone charger,"done, phone charger is now on."
activate the light,sure! activating the light.
activate the dim light,sure! activating the dim light.
power on the dim light,"done, dim light is now on."
turn off the aquarium filter,turning off the aquarium filter.
enable the curtain,okay turning on the curtain.
stop the phone charger,"done, phone charger is off."
start the hydroponic farm motor,"done, hydroponic farm motor is now on."
power on the aquarium filter,"done, aquarium filter is now on."
turn off the dim light,"okay, deactivating the dim light."
enable the refrigerator,"done, refrigerator is now on."
switch off the dim light,turning off the dim light.
disable the aquarium filter,"okay, deactivating the aquarium filter."
power down the cctv camera,"done, cctv camera is off."
deactivate the fan,turning off the fan.
stop the dim light,"okay, deactivating the dim light."
switch off the phone charger,turning off the phone charger.
deactivate the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
switch off the light,"okay, deactivating the light."
start the hydroponic farm motor,sure! activating the hydroponic farm motor.
switch on the curtain,okay turning on the curtain.
power on the door sensor,sure! activating the door sensor.
deactivate the hydroponic farm motor,"done, hydroponic farm motor is off."
turn on the phone charger,okay turning on the phone charger.
turn on the hydroponic farm motor,okay turning on the hydroponic farm motor.
disable the curtain,"done, curtain is off."
start the light,okay turning on the light.
disable the aquarium filter,turning off the aquarium filter.
turn off the curtain,"done, curtain is off."
start the light,"done, light is now on."
stop the refrigerator,turning off the refrigerator.
enable the aquarium filter,sure! activating the aquarium filter.
start the curtain,okay turning on the curtain.
turn off the aquarium filter,"okay, deactivating the aquarium filter."
switch on the refrigerator,okay turning on the refrigerator.
disable the door sensor,"done, door sensor is off."
turn off the phone charger,"okay, deactivating the phone charger."
switch on the phone charger,okay turning on the phone charger.
stop the door sensor,turning off the door sensor.
enable the light,sure! activating the light.
start the refrigerator,okay turning on the refrigerator.
power on the cctv camera,sure! activating the cctv camera.
stop the refrigerator,"done, refrigerator is off."
enable the hydroponic farm motor,sure! activating the hydroponic farm motor.
power on the hydroponic farm motor,okay turning on the hydroponic farm motor.
activate the refrigerator,"done, refrigerator is now on."
power down the curtain,turning off the curtain.
turn off the fan,"done, fan is off."
activate the dim light,okay turning on the dim light.
enable the cctv camera,"done, cctv camera is now on."
disable the door sensor,turning off the door sensor.
switch off the door sensor,turning off the door sensor.
power on the dim light,okay turning on the dim light.
turn off the door sensor,turning off the door sensor.
switch off the cctv camera,turning off the cctv camera.
stop the aquarium filter,turning off the aquarium filter.
power down the aquarium filter,turning off the aquarium filter.
activate the light,sure! activating the light.
turn off the curtain,turning off the curtain.
turn on the cctv camera,okay turning on the cctv camera.
turn on the curtain,sure! activating the curtain.
disable the cctv camera,"okay, deactivating the cctv camera."
deactivate the hydroponic farm motor,"done, hydroponic farm motor is off."
power on the phone charger,"done, phone charger is now on."
disable the refrigerator,"okay, deactivating the refrigerator."
power on the cctv camera,sure! activating the cctv camera.
deactivate the fan,"done, fan is off."
enable the dim light,okay turning on the dim light.
power down the light,"okay, deactivating the light."
enable the cctv camera,okay turning on the cctv camera.
disable the cctv camera,"done, cctv camera is off."
turn on the door sensor,"done, door sensor is now on."
disable the phone charger,"okay, deactivating the phone charger."
start the cctv camera,sure! activating the cctv camera.
enable the light,sure! activating the light.
turn on the light,okay turning on the light.
start the door sensor,sure! activating the door sensor.
turn off the fan,"okay, deactivating the fan."
switch on the hydroponic farm motor,okay turning on the hydroponic farm motor.
activate the aquarium filter,"done, aquarium filter is now on."
disable the curtain,"okay, deactivating the curtain."
switch off the aquarium filter,turning off the aquarium filter.
switch on the door sensor,sure! activating the door sensor.
power down the dim light,"okay, deactivating the dim light."
turn on the dim light,okay turning on the dim light.
power down the phone charger,turning off the phone charger.
stop the dim light,"done, dim light is off."
switch off the dim light,turning off the dim light.
switch off the curtain,"okay, deactivating the curtain."
power down the light,turning off the light.
switch off the phone charger,"done, phone charger is off."
stop the door sensor,"done, door sensor is off."
power down the phone charger,"okay, deactivating the phone charger."
enable the door sensor,sure! activating the door sensor.
turn off the aquarium filter,"okay, deactivating the aquarium filter."
stop the cctv camera,turning off the cctv camera.
power on the door sensor,sure! activating the door sensor.
disable the light,"okay, deactivating the light."
turn off the fan,"okay, deactivating the fan."
stop the refrigerator,"okay, deactivating the refrigerator."
power on the cctv camera,sure! activating the cctv camera.
deactivate the phone charger,turning off the phone charger.
enable the refrigerator,"done, refrigerator is now on."
start the refrigerator,"done, refrigerator is now on."
turn off the phone charger,"done, phone charger is off."
start the refrigerator,okay turning on the refrigerator.
turn off the light,"okay, deactivating the light."
deactivate the light,"done, light is off."
disable the cctv camera,"done, cctv camera is off."
switch off the refrigerator,"okay, deactivating the refrigerator."
turn off the door sensor,"done, door sensor is off."
start the aquarium filter,sure! activating the aquarium filter.
stop the aquarium filter,"done, aquarium filter is off."
disable the dim light,"okay, deactivating the dim light."
enable the phone charger,"done, phone charger is now on."
power down the curtain,"okay, deactivating the curtain."
turn off the curtain,turning off the curtain.
activate the light,sure! activating the light.
power down the light,"done, light is off."
turn off the fan,"done, fan is off."
start the cctv camera,sure! activating the cctv camera.
stop the aquarium filter,"okay, deactivating the aquarium filter."
activate the light,sure! activating the light.
turn on the phone charger,"done, phone charger is now on."
switch off the aquarium filter,"done, aquarium filter is off."
stop the refrigerator,"okay, deactivating the refrigerator."
disable the door sensor,turning off the door sensor.
start the fan,sure! activating the fan.
activate the fan,"done, fan is now on."
turn off the dim light,turning off the dim light.
start the door sensor,sure! activating the door sensor.
enable the phone charger,sure! activating the phone charger.
start the hydroponic farm motor,"done, hydroponic farm motor is now on."
stop the curtain,"done, curtain is off."
deactivate the refrigerator,turning off the refrigerator.
start the aquarium filter,okay turning on the aquarium filter.
switch off the refrigerator,turning off the refrigerator.
turn off the aquarium filter,"okay, deactivating the aquarium filter."
power on the dim light,okay turning on the dim light.
start the aquarium filter,"done, aquarium filter is now on."
power on the curtain,"done, curtain is now on."
turn on the aquarium filter,sure! activating the aquarium filter.
start the cctv camera,okay turning on the cctv camera.
turn on the refrigerator,"done, refrigerator is now on."
power on the phone charger,sure! activating the phone charger.
power down the aquarium filter,"done, aquarium filter is off."
activate the phone charger,sure! activating the phone charger.
power down the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
turn off the door sensor,turning off the door sensor.
power on the dim light,okay turning on the dim light.
power on the refrigerator,sure! activating the refrigerator.
switch off the phone charger,"done, phone charger is off."
turn off the aquarium filter,"okay, deactivating the aquarium filter."
deactivate the curtain,"done, curtain is off."
activate the refrigerator,"done, refrigerator is now on."
deactivate the refrigerator,turning off the refrigerator.
turn on the phone charger,okay turning on the phone charger.
turn off the hydroponic farm motor,"done, hydroponic farm motor is off."
turn off the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
activate the refrigerator,"done, refrigerator is now on."
activate the curtain,"done, curtain is now on."
enable the light,sure! activating the light.
power down the light,"okay, deactivating the light."
disable the light,"okay, deactivating the light."
power on the aquarium filter,"done, aquarium filter is now on."
turn off the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
start the dim light,okay turning on the dim light.
switch on the fan,sure! activating the fan.
turn off the hydroponic farm motor,turning off the hydroponic farm motor.
disable the fan,"done, fan is off."
deactivate the dim light,turning off the dim light.
power down the phone charger,"done, phone charger is off."
turn on the hydroponic farm motor,"done, hydroponic farm motor is now on."
enable the dim light,okay turning on the dim light.
power down the cctv camera,"done, cctv camera is off."
power down the hydroponic farm motor,turning off the hydroponic farm motor.
switch off the curtain,turning off the curtain.
stop the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
power on the curtain,sure! activating the curtain.
start the phone charger,okay turning on the phone charger.
deactivate the refrigerator,"okay, deactivating the refrigerator."
switch off the phone charger,"okay, deactivating the phone charger."
activate the refrigerator,"done, refrigerator is now on."
activate the curtain,sure! activating the curtain.
stop the refrigerator,turning off the refrigerator.
turn off the light,"okay, deactivating the light."
enable the phone charger,sure! activating the phone charger.
switch off the hydroponic farm motor,"done, hydroponic farm motor is off."
stop the cctv camera,"done, cctv camera is off."
power on the hydroponic farm motor,sure! activating the hydroponic farm motor.
power on the door sensor,"done, door sensor is now on."
start the curtain,sure! activating the curtain.
disable the refrigerator,"okay, deactivating the refrigerator."
start the fan,"done, fan is now on."
power on the hydroponic farm motor,"done, hydroponic farm motor is now on."
enable the aquarium filter,okay turning on the aquarium filter.
activate the fan,okay turning on the fan.
power down the aquarium filter,"done, aquarium filter is off."
power down the light,"okay, deactivating the light."
deactivate the cctv camera,turning off the cctv camera.
turn on the fan,sure! activating the fan.
stop the refrigerator,"done, refrigerator is off."
disable the refrigerator,turning off the refrigerator.
power down the phone charger,"okay, deactivating the phone charger."
start the fan,sure! activating the fan.
turn on the light,sure! activating the light.
start the phone charger,sure! activating the phone charger.
enable the refrigerator,sure! activating the refrigerator.
turn on the cctv camera,"done, cctv camera is now on."
activate the fan,sure! activating the fan.
disable the door sensor,turning off the door sensor.
switch on the fan,okay turning on the fan.
check the hydroponic farm motor,checking hydroponic farm motor status...
deactivate the light,"okay, deactivating the light."
activate the phone charger,"done, phone charger is now on."
disable the hydroponic farm motor,turning off the hydroponic farm motor.
start the cctv camera,okay turning on the cctv camera.
enable the light,"done, light is now on."
deactivate the refrigerator,turning off the refrigerator.
switch off the refrigerator,"done, refrigerator is off."
power down the curtain,"okay, deactivating the curtain."
switch on the dim light,"done, dim light is now on."
stop the aquarium filter,turning off the aquarium filter.
disable the refrigerator,"okay, deactivating the refrigerator."
switch off the aquarium filter,"okay, deactivating the aquarium filter."
turn on the aquarium filter,okay turning on the aquarium filter.
start the aquarium filter,"done, aquarium filter is now on."
switch off the cctv camera,"okay, deactivating the cctv camera."
turn off the door sensor,turning off the door sensor.
turn on the refrigerator,okay turning on the refrigerator.
switch on the fan,sure! activating the fan.
switch on the light,okay turning on the light.
deactivate the dim light,turning off the dim light.
power on the door sensor,okay turning on the door sensor.
switch off the phone charger,"okay, deactivating the phone charger."
turn on the light,okay turning on the light.
disable the door sensor,"done, door sensor is off."
power down the light,"okay, deactivating the light."
stop the curtain,"okay, deactivating the curtain."
start the dim light,okay turning on the dim light.
stop the curtain,"done, curtain is off."
stop the refrigerator,turning off the refrigerator.
activate the dim light,sure! activating the dim light.
deactivate the curtain,"okay, deactivating the curtain."
start the cctv camera,"done, cctv camera is now on."
power down the refrigerator,"okay, deactivating the refrigerator."
disable the fan,turning off the fan.
switch on the curtain,okay turning on the curtain.
power down the dim light,turning off the dim light.
power down the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
turn off the cctv camera,turning off the cctv camera.
power on the cctv camera,okay turning on the cctv camera.
switch on the aquarium filter,sure! activating the aquarium filter.
deactivate the phone charger,turning off the phone charger.
disable the door sensor,turning off the door sensor.
enable the hydroponic farm motor,okay turning on the hydroponic farm motor.
power on the cctv camera,sure! activating the cctv camera.
switch on the fan,sure! activating the fan.
disable the aquarium filter,"okay, deactivating the aquarium filter."
switch on the hydroponic farm motor,sure! activating the hydroponic farm motor.
switch on the dim light,okay turning on the dim light.
activate the phone charger,okay turning on the phone charger.
deactivate the refrigerator,"okay, deactivating the refrigerator."
disable the aquarium filter,turning off the aquarium filter.
switch on the curtain,"done, curtain is now on."
enable the refrigerator,"done, refrigerator is now on."
enable the phone charger,"done, phone charger is now on."
deactivate the door sensor,"done, door sensor is off."
stop the cctv camera,"okay, deactivating the cctv camera."
switch off the fan,"done, fan is off."
start the door sensor,sure! activating the door sensor.
deactivate the door sensor,"done, door sensor is off."
power on the aquarium filter,sure! activating the aquarium filter.
stop the phone charger,"done, phone charger is off."
start the fan,sure! activating the fan.
turn on the cctv camera,sure! activating the cctv camera.
disable the door sensor,turning off the door sensor.
power down the curtain,"done, curtain is off."
activate the fan,okay turning on the fan.
turn off the curtain,"done, curtain is off."
turn on the dim light,okay turning on the dim light.
enable the fan,sure! activating the fan.
enable the dim light,okay turning on the dim light.
enable the aquarium filter,"done, aquarium filter is now on."
switch on the refrigerator,"done, refrigerator is now on."
turn off the aquarium filter,"okay, deactivating the aquarium filter."
stop the phone charger,"okay, deactivating the phone charger."
turn off the phone charger,"done, phone charger is off."
turn on the dim light,okay turning on the dim light.
activate the refrigerator,okay turning on the refrigerator.
power down the cctv camera,"okay, deactivating the cctv camera."
stop the phone charger,turning off the phone charger.
start the fan,okay turning on the fan.
switch on the refrigerator,"done, refrigerator is now on."
deactivate the dim light,"okay, deactivating the dim light."
start the cctv camera,"done, cctv camera is now on."
power on the fan,sure! activating the fan.
switch off the phone charger,turning off the phone charger.
deactivate the curtain,"okay, deactivating the curtain."
switch on the curtain,"done, curtain is now on."
turn off the cctv camera,"done, cctv camera is off."
power down the fan,turning off the fan.
disable the cctv camera,"okay, deactivating the cctv camera."
enable the aquarium filter,sure! activating the aquarium filter.
power on the dim light,"done, dim light is now on."
power on the light,sure! activating the light.
disable the curtain,"done, curtain is off."
start the hydroponic farm motor,"done, hydroponic farm motor is now on."
power down the aquarium filter,"done, aquarium filter is off."
deactivate the phone charger,turning off the phone charger.
stop the phone charger,"done, phone charger is off."
turn on the dim light,sure! activating the dim light.
power on the phone charger,"done, phone charger is now on."
power down the door sensor,turning off the door sensor.
stop the aquarium filter,"okay, deactivating the aquarium filter."
power down the refrigerator,"done, refrigerator is off."
disable the cctv camera,turning off the cctv camera.
switch off the hydroponic farm motor,"done, hydroponic farm motor is off."
turn off the cctv camera,"done, cctv camera is off."
power on the light,"done, light is now on."
switch off the curtain,turning off the curtain.
deactivate the refrigerator,"done, refrigerator is off."
start the door sensor,okay turning on the door sensor.
switch off the aquarium filter,turning off the aquarium filter.
activate the refrigerator,"done, refrigerator is now on."
enable the door sensor,sure! activating the door sensor.
switch off the curtain,"done, curtain is off."
activate the curtain,sure! activating the curtain.
turn on the cctv camera,sure! activating the cctv camera.
deactivate the door sensor,"done, door sensor is off."
activate the dim light,sure! activating the dim light.
stop the fan,turning off the fan.
activate the light,sure! activating the light.
start the refrigerator,"done, refrigerator is now on."
start the aquarium filter,okay turning on the aquarium filter.
switch off the refrigerator,"done, refrigerator is off."
turn off the dim light,"okay, deactivating the dim light."
what is the status of the fan,it seems the fan is working fine.
activate the aquarium filter,sure! activating the aquarium filter.
stop the aquarium filter,"done, aquarium filter is off."
turn off the light,turning off the light.
enable the fan,okay turning on the fan.
deactivate the dim light,turning off the dim light.
deactivate the phone charger,"okay, deactivating the phone charger."
switch off the door sensor,"okay, deactivating the door sensor."
deactivate the fan,"done, fan is off."
start the dim light,sure! activating the dim light.
switch off the fan,"done, fan is off."
enable the curtain,sure! activating the curtain.
switch off the fan,"done, fan is off."
turn on the light,"done, light is now on."
switch off the hydroponic farm motor,turning off the hydroponic farm motor.
switch off the curtain,turning off the curtain.
stop the cctv camera,turning off the cctv camera.
turn off the phone charger,"done, phone charger is off."
disable the fan,turning off the fan.
activate the cctv camera,okay turning on the cctv camera.
power on the refrigerator,okay turning on the refrigerator.
enable the curtain,sure! activating the curtain.
stop the refrigerator,turning off the refrigerator.
disable the fan,"done, fan is off."
activate the fan,okay turning on the fan.
stop the dim light,"done, dim light is off."
turn off the dim light,"okay, deactivating the dim light."
thanks,anytime!
start the curtain,okay turning on the curtain.
activate the door sensor,okay turning on the door sensor.
enable the fan,okay turning on the fan.
disable the fan,"done, fan is off."
power down the light,turning off the light.
activate the curtain,sure! activating the curtain.
stop the curtain,turning off the curtain.
power down the fan,"done, fan is off."
is aquarium filter working,checking aquarium filter status...
power down the dim light,turning off the dim light.
power on the curtain,sure! activating the curtain.
activate the aquarium filter,sure! activating the aquarium filter.
power down the refrigerator,"okay, deactivating the refrigerator."
power down the light,turning off the light.
turn on the light,sure! activating the light.
switch off the hydroponic farm motor,"done, hydroponic farm motor is off."
deactivate the aquarium filter,"okay, deactivating the aquarium filter."
power on the curtain,sure! activating the curtain.
power down the door sensor,"done, door sensor is off."
power on the aquarium filter,"done, aquarium filter is now on."
power down the refrigerator,"done, refrigerator is off."
activate the refrigerator,okay turning on the refrigerator.
stop the refrigerator,"done, refrigerator is off."
disable the curtain,"done, curtain is off."
activate the fan,sure! activating the fan.
switch off the aquarium filter,"okay, deactivating the aquarium filter."
turn on the curtain,"done, curtain is now on."
how’s the cctv camera,the cctv camera is currently off.
switch on the fan,"done, fan is now on."
switch off the light,"done, light is off."
switch off the dim light,"okay, deactivating the dim light."
turn off the door sensor,turning off the door sensor.
power on the refrigerator,"done, refrigerator is now on."
switch off the dim light,turning off the dim light.
power down the refrigerator,turning off the refrigerator.
turn off the cctv camera,turning off the cctv camera.
switch off the cctv camera,"done, cctv camera is off."
turn off the phone charger,turning off the phone charger.
turn on the dim light,sure! activating the dim light.
stop the aquarium filter,turning off the aquarium filter.
stop the cctv camera,"done, cctv camera is off."
power on the aquarium filter,okay turning on the aquarium filter.
turn on the fan,okay turning on the fan.
deactivate the door sensor,"done, door sensor is off."
stop the dim light,turning off the dim light.
stop the refrigerator,turning off the refrigerator.
turn off the aquarium filter,"done, aquarium filter is off."
start the fan,okay turning on the fan.
power on the cctv camera,okay turning on the cctv camera.
enable the refrigerator,okay turning on the refrigerator.
deactivate the refrigerator,"okay, deactivating the refrigerator."
power down the light,"okay, deactivating the light."
start the aquarium filter,okay turning on the aquarium filter.
start the cctv camera,"done, cctv camera is now on."
turn off the curtain,"done, curtain is off."
start the light,sure! activating the light.
turn on the dim light,okay turning on the dim light.
power down the fan,"okay, deactivating the fan."
stop the dim light,turning off the dim light.
power down the hydroponic farm motor,"done, hydroponic farm motor is off."
disable the hydroponic farm motor,"done, hydroponic farm motor is off."
activate the refrigerator,sure! activating the refrigerator.
deactivate the cctv camera,"okay, deactivating the cctv camera."
disable the door sensor,"done, door sensor is off."
start the phone charger,okay turning on the phone charger.
activate the cctv camera,okay turning on the cctv camera.
switch off the cctv camera,"done, cctv camera is off."
turn on the phone charger,sure! activating the phone charger.
power on the dim light,sure! activating the dim light.
power down the aquarium filter,"done, aquarium filter is off."
